Model,Line Sort,Last Status,Line Type,Chassis Check In Status,Chassis Model,VIN,Final Destination,Capacity,Exit Factory Date,Current Exit Factory,Chassis Check In Date,Original SO,File Source,Model First 5 Chars,Related Order Number,Exit Factory Date Year & Week,Exit Factory Year,Exit Factory Week,Rear Loader 2512,Rear Loader (PKRRLSB),Manual Side Loader (PKRML),DC REFUSE STOCK
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,1M2LR2GC8TM013070,RWS TEXAS LEASING COMPANY LLC 9079,2448,2026-04-03,2026-04-03,2026-02-17,5346889,F4211,PKRAL,03400941,2026 - 14,2026,14,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,1M2LR2GCXTM013071,RWS TEXAS LEASING COMPANY LLC 9079,2448,2026-04-03,2026-04-03,2026-02-16,5346889,F4211,PKRAL,03400949,2026 - 14,2026,14,0,0,0,0
PKRRLXCCTCPQ,1,525,HFL,Checked-In,Rear Loader,1M2TE2GC3TM014641,CAPITOL WASTE SERVICES,3213,2026-04-17,2026-04-17,2025-10-28,5347388,F4211,PKRRL,03401295,2026 - 16,2026,16,0,0,0,0
PKRRLXCCTCPQ,1,525,HFL,Checked-In,Rear Loader,1M2TE2GC5TM014642,CAPITOL WASTE SERVICES,3213,2026-04-10,2026-04-10,2025-10-30,5347391,F4211,PKRRL,03401239,2026 - 15,2026,15,0,0,0,0
PKRFL78CTCPQ,3,530,,Checked-In,Front Loader,1M2LR2GC8TM012582,WCNX - MARENGO HAULING - 3084,4086,2026-04-03,2026-04-03,2025-12-30,5351254,F4211,PKRFL,03403890,2026 - 14,2026,14,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,1M2LR2GC3TM011176,WASTE CONNECTIONS - LAFAYETTE,2848,2026-04-03,2026-04-03,2025-03-19,5351268,F4211,PKRAL,03403903,2026 - 14,2026,14,0,0,0,0
PKRRLXCCTCPQ,1,525,HFL,Checked-In,Rear Loader,1M2TE2GC7TM014660,WASTE CONNECTIONS DBA MEGA DISPOSAL/ MTG,3213,2026-04-17,2026-04-17,2025-10-31,5351280,F4211,PKRRL,03403910,2026 - 16,2026,16,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,1M2LR2GC3TM012604,WASTE CONNECTIONS OF LA DBA DELTA DISP,2848,2026-04-10,2026-04-10,2025-12-30,5351330,F4211,PKRAL,03403955,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,Checked-In,Side Loader,1M2LR2GC7TM012606,WASTE CONNECTIONS OF LA DBA DELTA DISP,2848,2026-04-10,2026-04-10,2026-02-19,5351330,F4211,PKRAL,03403960,2026 - 15,2026,15,0,0,0,0
PKRRL3.5HDCTCPQ,1,530,HFL,Checked-In,Rear Loader,1NK5LJ0X1VJ235572,BOROUGH OF CLOSTER,2516,2026-04-10,2026-04-10,2026-02-09,5353047,F4211,PKRRL,03405053,2026 - 15,2026,15,0,0,0,0
PKRFLATLCTCPQ,3,525,,Checked-In,Front Loader,1M2TE2GC8TM014635,CURBSIDE WASTE,4029,2026-04-10,2026-04-10,2026-02-19,5353871,F4211,PKRFL,03405552,2026 - 15,2026,15,0,0,0,0
PKRRLXCCTCPQ,1,525,HFL,Checked-In,Rear Loader,1M2TE2GC4TM014244,BIG TRUCK RENTAL LLC,2813,2026-04-10,2026-04-10,2026-02-03,5356303,F4211,PKRRL,03406980,2026 - 15,2026,15,0,0,0,0
PKRRLXCCTCPQ,1,530,HFL,Checked-In,Rear Loader,1M2TE2GC6TM014245,BIG TRUCK RENTAL LLC,2813,2026-04-10,2026-04-10,2026-02-03,5356303,F4211,PKRRL,03406986,2026 - 15,2026,15,0,0,0,0
PKRFLATLCTCPQ,3,520,,Checked-In,Front Loader,3BPDLK0X6TF803063,WCNX - STAFFORD'S SOLID WASTE - 3179,4029,2026-04-17,2026-04-17,2025-10-30,5356530,F4211,PKRFL,03407094,2026 - 16,2026,16,0,0,0,0
